Games,Console,Edition,Developer,Publisher,Year,New,Box,Manual,Genre,
実況パワプロ野球99,Playstation,Japanese,Konami,Konami,1999,No,Yes,Yes,Sports (Baseball),
信長の野望 天翔記,Playstation,Japanese,Koei,Koei,1994,No,Yes,Yes,Grand Strategy,
ワールドスタジアム2,Playstation,Japanese,Namco,Namco,1998,No,Yes,Yes,Sports (Baseball),
ワールドサッカー実況ウイニングイレブン3,Playstation,Japanese,Konami,Konami,1998,No,Yes,Yes,Sports (Football),
ポケットムームー,Playstation,Japanese,Sugar & Rockets,Sony Computer Entertainment,1999,No,Yes,No,Simulation,
フロントミッション セカンド,Playstation,Japanese,Square,Square,1997,No,Yes,No,Strategy RPG,
ファイナルファンタジーVIII,Playstation,Japanese,Square Enix,Square Enix,1999,No,Yes,Yes,JRPG,
ファイナルファンタジー タクティクス,Playstation,Japanese,Square,Square,1997,No,Yes,No,Strategy RPG,
ドラゴンクエストVII,Playstation,Japanese,Enix,Enix,2001,No,Yes,Yes,JRPG,
テトリスX,Playstation,Japanese,Bullet-Proof Software,Bullet-Proof Software,1996,No,Yes,Yes,Puzzle,
テイルズ オブ ファンタジア,Playstation,Japanese,Namco Tales Studio,Namco,1998,No,Yes,Yes,Action RPG,
テイルズ オブ デスティニー,Playstation,Japanese,Namco Tales Studio,Namco,1997,No,Yes,Yes,Action RPG,
サガ フロンティア,Playstation,Japanese,Square,Square,1997,No,Yes,Yes,JRPG,
サガ フロンティア2,Playstation,Japanese,Square,Square,1999,No,Yes,Yes,JRPG,
グランツーリスモ,Playstation,Japanese,Polyphony Digital,Sony Computer Entertainment,1997,No,Yes,Yes,Racing / Simulation,
クラッシュ・バンディクー,Playstation,Japanese,Naughty Dog,Sony Computer Entertainment,1996,No,Yes,No,Platformer,
クラッシュ・バンディクー2,Playstation,Japanese,Naughty Dog,Sony Computer Entertainment,1997,No,Yes,No,Platformer,
ファイナルファンタジーVII,Playstation,Japanese,Square Enix,Square Enix,1997,No,Yes,Yes,JRPG,
ファイナルファンタジーIX,Playstation,Japanese,Square Enix,Square Enix,2000,No,Yes,Yes,JRPG,
どこでもいっしょ,Playstation,Japanese,BeXide,Sony Computer Entertainment,1999,No,Yes,Yes,Life Simulation,
ダービースタリオン,Playstation,Japanese,ParityBit,ASCII,1997,No,Yes,Yes,Simulation / Horse Racing,
Tony Hawk's Pro Skater,Playstation,European,Neversoft,Activision,1999,No,Yes,No,Sports (Skateboarding),
Tony Hawk's Pro Skater 2,Playstation,European,Neversoft,Activision,2000,No,Yes,No,Sports (Skateboarding),
Tony Hawk's Pro Skater 3,Playstation,European,Neversoft,Activision,2001,No,Yes,No,Sports (Skateboarding),
The Simpsons Wrestling,Playstation,European,Electronic Arts,Electronic Arts,2001,No,Yes,Yes,Wrestling / Fighting,
Tekken 3,Playstation,European,Namco,Namco,1997,No,Yes,Yes,Fighting,
Gran Turismo,Playstation,European,Polyphony Digital,Sony Computer Entertainment,1997,No,Yes,Yes,Racing / Simulation,
Crash Bandicoot,Playstation,European,Naughty Dog,Sony Computer Entertainment,1996,No,Yes,No,Platformer,
Crash Bandicoot 2 Cortex Strikes Back,Playstation,European,Naughty Dog,Sony Computer Entertainment,1997,No,Yes,Yes,Platformer,
Crash Bandicoot 3 Warped,Playstation,European,Naughty Dog,Sony Computer Entertainment,1998,No,Yes,Yes,Platformer,
FIFA Road to World Cup 98,Playstation,European,Electronic Arts,Electronic Arts,1997,No,Yes,Yes,Sports (Football),
Final Fantasy VIII,PC,European,Squaresoft,Eidos Interactive,2000,No,Yes,Yes,JRPG,
X-Men: Destiny,Nintendo Wii,European,Silicon Knights,Activision,2011,No,Yes,Yes,Action RPG,
Wii Sports Resort,Nintendo Wii,European,Nintendo,Nintendo,2009,No,Yes,Yes,Sports / Party,
Wii Fit Plus,Nintendo Wii,European,Nintendo EAD,Nintendo,2009,No,Yes,Yes,Exergame / Fitness,
Wii Console Black: Wii Sports + Wii Sports Resort Edition,Nintendo Wii,European,Nintendo,Nintendo,2009,No,No,No,Bundle (Sports / Party),
Virtua Tennis 2009,Nintendo Wii,European,Sumo Digital,SEGA,2009,No,Yes,Yes,Sports (Tennis),
Trauma Center Second Opinion,Nintendo Wii,European,ATLUS,Nintendo,2006,No,Yes,Yes,Simulation / Visual Novel,
Top Spin 4,Nintendo Wii,European,2K Games,2K Sports,2011,No,Yes,Yes,Sports (Tennis),
Tomb Raider: Underworld,Nintendo Wii,European,Crystal Dynamics,Eidos Interactive,2008,No,Yes,Yes,Action-Adventure,
Star Wars The Clone Wars: Republic Heroes,Nintendo Wii,European,Krome Studios,LucasArts,2009,No,Yes,Yes,Action-Adventure,
Sonic and the Black Knight,Nintendo Wii,European,Sonic Team,SEGA,2009,No,Yes,Yes,Action-Adventure / Platformer,
Skylanders Giants,Nintendo Wii,European,Toys for Bob,Activision,2012,No,Yes,Yes,Action-Adventure / Toys-to-Life,
The Legend of Zelda: Twilight Princess,Nintendo Wii,European,Nintendo EAD,Nintendo,2006,No,Yes,Yes,Action-Adventure,
Call of Duty: World at War,Nintendo Wii,European,Exakt Entertainment,Activision,2008,No,Yes,Yes,First-Person Shooter,
Animal Crossing: Let's Go to the City,Nintendo Wii,European,Nintendo,Nintendo,2008,No,Yes,Yes,Life Simulation,
Xenoblade Chronicles 3,Nintendo Switch,European,Monolith Soft,Nintendo,2022,No,Yes,Yes,JRPG,
Super Smash Bros. Ultimate,Nintendo Switch,European,Bandai Namco,Nintendo,2018,No,Yes,Yes,Fighting / Party,
Super Mario RPG,Nintendo Switch,European,Nintendo,Nintendo,2023,No,Yes,Yes,JRPG,
Splatoon 3,Nintendo Switch,European,Nintendo,Nintendo,2022,No,Yes,Yes,Third-Person Shooter,
Pokemon Brilliant Diamond,Nintendo Switch,European,ILCA,Nintendo,2021,No,Yes,Yes,JRPG,
Pokemon Shining Pearl,Nintendo Switch,European,ILCA,Nintendo,2021,No,Yes,Yes,JRPG,
Mario Kart 8 Deluxe,Nintendo Switch,European,Nintendo,Nintendo,2017,No,Yes,Yes,Kart Racing,
Legend of Zelda: Tears of the Kingdom,Nintendo Switch,European,Nintendo,Nintendo,2023,No,Yes,Yes,Action-Adventure,
Super Mario Sunshine,Nintendo GameCube,European,Nintendo,Nintendo,2002,No,Yes,Yes,Platformer,
Resident Evil 4,Nintendo GameCube,USA,Capcom,Capcom,2005,No,Yes,Yes,Survival Horror / Shooter,
Super Mario Land 2,Nintendo Game Boy,European,Nintendo,Nintendo,1992,No,No,Yes,Platformer,
Super Mario 64,Nintendo 64,European,Nintendo,Nintendo,1996,No,Yes,Yes,Platformer,
Legend of Zelda: Ocarina of Time,Nintendo 64,European,Nintendo,Nintendo,1998,No,Yes,Yes,Action-Adventure,
Super Mario Bros,NES,European,Nintendo,Nintendo,1985,No,No,No,Platformer,
Destiny 2,Xbox One,European,Bungie,Activision,2017,No,Yes,Yes,First-Person Shooter / MMO,
Gears of War 3,Xbox 360,European,Epic Games,Microsoft,2011,No,Yes,Yes,Third-Person Shooter,
FIFA 08,Xbox 360,European,Electronic Arts,Electronic Arts,2007,No,Yes,Yes,Sports (Football),
European Tennis Pro,Playstation 2,European,Magical Company,Pheonix Games,2003,No,Yes,Yes,Sports (Tennis),
Devil May Cry,Playstation 2,European,CAPCOM,CAPCOM,2001,No,Yes,No,Action-Adventure / Hack and Slash,
Crashed,Playstation 2,European,Rage Software,Rage Software,2002,No,Yes,Yes,Vehicular Combat / Racing,
Colin McRae Rally 3,Playstation 2,European,Codemasters,Codemasters,2003,No,Yes,Yes,Rally Racing,
Colin McRae Rally 2005 platinum,Playstation 2,European,Codemasters,Codemasters,2004,No,Yes,Yes,Rally Racing,
Colin McRae Rally 2005,Playstation 2,European,Codemasters,Codemasters,2004,No,Yes,Yes,Rally Racing,
Burnout Revenge,Playstation 2,European,Electronic Arts,Electronic Arts,2005,No,Yes,Yes,Arcade Racing,
Bomberman Kart,Playstation 2,European,Racejin,Hudson Studios,2001,No,No,No,Kart Racing,
.Hack //感染拡大,Playstation 2,Japanese,CyberConnect2,Bandai Namco,2002,No,Yes,Yes,Action RPG,
パチンコアルゼ王国,Playstation,Japanese,Universal Entertainment,Universal Entertainment,1999,No,Yes,No,Pachinko / Gambling,
ドミノ君をトメナイデ,Playstation,Japanese,Artdink,Artdink,1998,No,Yes,No,Action / Puzzle,
チョコボの不思議なダンジョン,Playstation,Japanese,Square,Square,1997,No,Yes,No,Roguelike / Dungeon Crawler,
ザ・キング・オブ・ファイターズ '95,Playstation,Japanese,SNK,SNK,1996,No,Yes,No,Fighting,
THEブロックくずし,Playstation,Japanese,TAMSOFT,D3 Publisher,1999,No,Yes,No,Breakout / Arcade,
THEビリヤード,Playstation,Japanese,アジェンダ,D3 Publisher,1999,No,Yes,No,Sports (Billiards),
ONE PIECE とびだせ海賊団!,Playstation,Japanese,Bandai Namco Entertainment,Bandai Namco Entertainment,2001,No,Yes,Yes,Strategy / Board Game,
ONE PIECE グランドバトル! 2,Playstation,Japanese,Ganbarin,Bandai Namco Entertainment,2002,No,Yes,No,Fighting,
I.Q.: Intelligent Qube,Playstation,Japanese,G-Artists,Sony Interactive Entertainment,1997,No,Yes,Yes,Puzzle,
Duke Nukem: Time to Kill,Playstation,European,n-Space,GT Interactive,1998,No,Yes,Yes,Third-Person Shooter,
Dino Crises,Playstation,Japanese,CAPCOM,CAPCOM,1999,No,Yes,Yes,Survival Horror,
BASTARD!! -虚ろなる神々の器-,Playstation,Japanese,SETA Corporation,SETA Corporation,1996,No,Yes,No,RPG,
闘神伝２PLUS,Playstation,Japanese,Aques,Aques,1996,No,Yes,No,Fighting,
金沢将棋９５,Playstation,Japanese,SETA,SETA,1995,No,Yes,No,Board / Shogi,
聖剣伝説,Playstation,Japanese,Square,Square,1999,No,Yes,Yes,Action RPG,
桃太郎電鉄７,Playstation,Japanese,Hudson Soft,Hudson Soft,1997,No,Yes,No,Board Game / Party,
柿木商議,Playstation,Japanese,ASCII,ASCII,1994,No,Yes,No,Board / Shogi,
東京魔人學園朧綺譚,Playstation,Japanese,Asmik Ace Entertainment,Asmik Ace Entertainment,1999,No,Yes,Yes,Adventure / Visual Novel,
大戦略 Playstation the Best,Playstation,Japanese,SystemSoft,SystemSoft,1996,No,Yes,Yes,Turn-Based Strategy,
信長の野望烈婦伝,Playstation,Japanese,Koei,Koei,1999,No,Yes,Yes,Grand Strategy,
レッジレーサー,Playstation,Japanese,Namco,Namco,1994,No,Yes,No,Racing,
レイストーム,Playstation,Japanese,Taito,Working Designes,1996,No,Yes,No,Shoot 'em Up,
レイジレーサー,Playstation,Japanese,Namco,Namco,1996,No,Yes,Yes,Racing,
リッジレーサー,Playstation,Japanese,Namco,Namco,1995,No,Yes,Yes,Racing,
みんなのGOLF,Playstation,Japanese,Camelot Software Planning,Sony Computer Entertainment,1997,No,Yes,No,Sports (Golf),
ペルソナ２悲 Playstation the Best,Playstation,Japanese,Atlus,Atlus,1999,No,Yes,Yes,JRPG,
ブレイスタジアム,Playstation,Japanese,Banpresto,Banpresto,1996,No,Yes,Yes,Sports (Baseball),
ダンシングステージ フューチャリング,Playstation,Japanese,Konami,Konami,1999,No,Yes,Yes,Rhythm / Music,
ダービースタリオン９９,Playstation,Japanese,ASCII,ASCII,1999,No,Yes,Yes,Horse Racing / Simulation,
こねこもいっしょ,Playstation,Japanese,Bomber Express,Sony Computer Entertainment,2000,No,Yes,Yes,Virtual Pet / Simulation,
クラッシュ・バンディクー3 ブッとび!世界一周,Playstation,Japanese,Naughty Dog,Vivendi Games,1998,No,Yes,Yes,Platformer,
ククロセアトロ〜悠久の瞳,Playstation,Japanese,SUNCORPORATION,Crave Entertainment,1999,No,Yes,Yes,Tactical RPG,
がんばれ森川君2号,Playstation,Japanese,Sony Interactive Entertainment,Sony Interactive Entertainment,1997,No,Yes,Yes,Simulation / Artificial Life,
アンジェリークSpecial,Playstation,Japanese,Ruby party,Koei,1996,No,Yes,Yes,Visual Novel / Dating Sim,
アークザラッドII,Playstation,Japanese,Sony Interactive Entertainment,Sony Interactive Entertainment,1996,No,Yes,Yes,Tactical RPG,
アークザラッド２,Playstation,Japanese,Working Designes,Working Designes,1996,No,Yes,Yes,Tactical RPG,
THE スノーボード,Playstation,Japanese,Atelier Double,D3 Publisher,1999,No,Yes,Yes,Sports (Snowboarding),
Tekken Tag Tournament,Playstation,European,Namco,Sony Computer Entertainment,1999,No,Yes,No,Fighting,
Street Skater,Playstation,European,Atelier Double,Electronic Arts,1998,No,Yes,Yes,Sports (Skateboarding),
Sled Storm,Playstation,European,Electronic Arts,Electronic Arts,1999,No,Yes,Yes,Racing,
SDガンダムじっじエネルーション,Playstation,Japanese,Tom Create,Bandai,1998,No,Yes,No,Strategy RPG,
RPG ツクール３,Playstation,Japanese,Enterbrain,Enterbrain,1997,No,Yes,No,Game Creation / RPG Editor,
R4: Ridge Racer Type 4,Playstation,Japanese,Namco,Namco,1998,No,Yes,Yes,Racing,
PGA Tour 96,Playstation,European,Hitmen Productions,Black Pearl Software,1995,No,Yes,No,Sports (Golf),
No Fear Downhill Mountain Biking,Playstation,European,Unique Development Studios,ASCII,1999,No,Yes,No,Sports (Cycling),
NHL 98,Playstation,European,EA sports,Electronic Arts,1997,No,Yes,Yes,Sports (Ice Hockey),
Mat Hoffman's Pro BMX,Playstation,European,Hotgen,Activision,2001,No,Yes,No,Sports (BMX),
Knockout Kings 99,Playstation,European,EA sports,Electronic Arts,1998,No,Yes,Yes,Sports (Boxing),
Kileak the Blood,Playstation,Japanese,Genki,Sony Interactive Entertainment,1995,No,Yes,Yes,First-Person Shooter,
jリーグ 実況ウイニングイレブン２０００2nd,Playstation,Japanese,Konami,Konami,2000,No,Yes,Yes,Sports (Football),
Dの食卓 コンプリートグラフィックス,Playstation,Japanese,From Yellow To Orange,Aclaim Entertainment,1995,No,Yes,Yes,Companion Book / Art Book,
Virtua Tennis 2009,Nintendo Wii,European,Sumo Digital,Sega,2009,No,Yes,Yes,Sports (Tennis),
Sims 2: Pets,Nintendo Wii,European,Maxis,Electronic Arts,2006,No,Yes,Yes,Life Simulation,
Shaun White Snowboarding: Road Trip,Nintendo Wii,European,Ubisoft Montreal,Ubisoft,2008,No,Yes,Yes,Sports (Snowboarding),
Samba de Amigo,Nintendo Wii,European,Sega,Sega,2008,No,Yes,Yes,Rhythm / Music,
Rockstar Games presents Table Tennis,Nintendo Wii,European,Rockstar San Diego,Rockstar Games,2006,No,Yes,Yes,Sports (Table Tennis),
Rayman Raving Rabbids: TV Party,Nintendo Wii,European,Ubisoft,Ubisoft,2008,No,Yes,Yes,Party / Minigame,
Need for Speed: Undercover,Nintendo Wii,European,Exient Entertainment,Electronic Arts,2008,No,Yes,Yes,Racing,
My Fitness Coach: Get In Shape,Nintendo Wii,European,Ubisoft,Ubisoft Entertainment,2008,No,Yes,Yes,Exergame / Fitness,
Michael Jackson The Experience,Nintendo Wii,European,"Ubisoft Paris, Ubisoft Montpellier",Ubisoft,2010,No,Yes,Yes,Rhythm / Dance,
LEGO Star Wars III: The Clone Wars,Nintendo Wii,European,Traveller's Tales Ltd.,LucasArts Entertainment Company LLC,2011,No,Yes,Yes,Action-Adventure,
Klonoa,Nintendo Wii,European,Namco,Namco,2008,No,Yes,Yes,Platformer,
Heatseeker,Nintendo Wii,European,IR Gurus,Codemasters,2007,No,Yes,Yes,Combat Flight Simulator,
Game Party,Nintendo Wii,European,Midway Games,Midway Games,2008,No,Yes,Yes,Party / Minigame,
FIFA 13,Nintendo Wii,European,EA Canada,EA Sports,2012,No,Yes,Yes,Sports (Football),
FIFA 08,Nintendo Wii,European,EA Canada,EA Sports,2007,No,Yes,Yes,Sports (Football),
Disney Phineas and Ferb: Across the 2nd Dimension,Nintendo Wii,European,High Impact Games,Disney Interactive Studios,2011,No,Yes,Yes,Action-Adventure / Platformer,
Dewy's Adventure,Nintendo Wii,European,Konami,Konami,2007,No,Yes,Yes,Platformer / Action,
Death Jr.: Root of Evil,Nintendo Wii,European,Backbone Entertainment,Eidos Interactive,2006,No,Yes,Yes,Action-Adventure / Platformer,
Boogie Superstar,Nintendo Wii,European,EA Montreal,Electronic Arts,2008,No,Yes,Yes,Rhythm / Music,
Ben 10: Alien Force,Nintendo Wii,European,Monkey Bar Games,D3 Publisher Inc.,2008,No,Yes,Yes,Action-Adventure,
Bakugan: Battle Brawlers,Nintendo Wii,European,NOW Production,Activision,2008,No,Yes,Yes,Action / Fighting,
Unicorn Overlord,Nintendo Switch,European,Vanillaware,Atlus,2024,No,Yes,Yes,Tactical RPG,
Toki,Nintendo Switch,European,Microids,Missing Field,2019,No,Yes,Yes,Platformer,
The Legend of Zela Breath of the Wild,Nintendo Switch,European,Nintendo,Nintendo,2017,No,Yes,No,Action-Adventure,
Super Monkey Ball: Banana Blitz HD,Nintendo Switch,European,Missing Field,Sega,2019,No,Yes,Yes,Platform / Party,
Super Mario Maker 2,Nintendo Switch,European,Nintendo,Nintendo,2019,No,Yes,Yes,Platformer / Level Editor,
Super Mario 3D World + Bowser's Fury,Nintendo Switch,European,Nintendo EAD Tokyo,Nintendo,2021,No,Yes,Yes,Platformer,
Super Mario 3D All-Stars,Nintendo Switch,European,Nintendo,Nintendo,2020,No,Yes,Yes,Compilation / Platformer,
Persona 5 Tactica,Nintendo Switch,European,Atlus,Atlus,2023,No,Yes,Yes,Tactical RPG,
Octopath Traveler II,Nintendo Switch,European,Square Enix,Square Enix,2023,No,Yes,Yes,JRPG,
Nintendo Switch Sports,Nintendo Switch,Japanese,Nintendo EPD,Nintendo,2022,No,Yes,Yes,Sports / Party,
NieR: Automata - The End of YoRHa Edition,Nintendo Switch,European,"PlatinumGames, Virtuos",Square Enix,2022,No,Yes,Yes,Action RPG,
Monster Hunter Rise,Nintendo Switch,European,Capcom,Capcom,2021,No,Yes,Yes,Action RPG,
Mario Party Superstars,Nintendo Switch,European,NDCube,Nintendo,2021,No,Yes,Yes,Party / Board Game,
Luigi's Mansion 3,Nintendo Switch,European,Next Level Games,Nintendo,2019,No,Yes,Yes,Action-Adventure,
Legend of Zelda: Link's Awakening,Nintendo Switch,European,Grezzo,Nintendo,2019,No,Yes,Yes,Action-Adventure,
Hyrule Warriors: Age of Calamity,Nintendo Switch,European,"Koei Tecmo, Omega Force",Nintendo,2020,No,Yes,Yes,Musou / Action,
Fire Emblem: Three Houses,Nintendo Switch,European,Intelligent Systems,Nintendo,2019,No,Yes,Yes,Tactical RPG,
Fire Emblem Warriors: Three Hopes,Nintendo Switch,European,Koei Tecmo,Nintendo,2022,No,Yes,Yes,Musou / Action RPG,
Fire Emblem Engage,Nintendo Switch,European,Intelligent Systems,Nintendo,2023,No,Yes,Yes,Tactical RPG,
ARMS,Nintendo Switch,European,Nintendo,Nintendo,2017,No,Yes,Yes,Fighting / Sports,
銀玉親方の実戦パチンコ必勝法,Nintendo Super Famicom,Japanese,Sammy,Sammy,1995,No,No,No,Pachinko / Gambling,
聖剣伝説２,Nintendo Super Famicom,Japanese,Square,Square,1993,No,No,No,Action RPG,
炎の闘球児 ドッジ弾平,Nintendo Super Famicom,Japanese,Sunsoft,Sunsoft,1992,No,No,No,Sports (Dodgeball),
機動戦士ガンダムF91 フォーミュラー戦記0122,Nintendo Super Famicom,Japanese,Bandai Namco Entertainment,Bandai Namco Entertainment,1991,No,No,No,Action / Shooter,
機動戦士ガンダム CROSS DIMENSION 0079,Nintendo Super Famicom,Japanese,Bandai Namco Entertainment,Bandai Namco Entertainment,1995,No,No,No,Tactical RPG,
新桃太郎伝説,Nintendo Super Famicom,Japanese,Hudson Soft,Hudson Studios,1993,No,No,No,JRPG,
ロマンシングサガ３,Nintendo Super Famicom,Japanese,Square,Square,1995,No,No,No,JRPG,
ミニ四駆 シャイニングスコーピオン レッツ＆ゴー!!,Nintendo Super Famicom,Japanese,KID,ASCII,1996,No,No,No,Racing / Simulation,
ファイナルファンタジーVI,Nintendo Super Famicom,Japanese,Square,Square,1994,No,No,No,JRPG,
ファイナルファンタジーVI,Nintendo Super Famicom,Japanese,Square,Square,1995,No,Yes,Yes,JRPG,
ファイナルファンタジーV,Nintendo Super Famicom,Japanese,Square,Square,1992,No,No,No,JRPG,
ファイナルファンタジーIV,Nintendo Super Famicom,Japanese,Square,Square,1991,Yes,Yes,Yes,JRPG,
"ファイアーエムブレム 紋章の謎,",Nintendo Super Famicom,Japanese,Intelligent Systems,Nintendo,1994,No,No,No,Tactical RPG,
ドラゴンクエストV 天空の花嫁,Nintendo Super Famicom,Japanese,Enix,Enix,1992,No,No,No,JRPG,
ドラゴンクエストIII そして伝説へ,Nintendo Super Famicom,Japanese,Enix,Square,1996,No,No,No,JRPG,
ゼロヨンチャンプ ダブルアール,Nintendo Super Famicom,Japanese,Media Rings,Media Rings,1994,No,No,No,Racing / Simulation,
スターフォックス,Nintendo Super Famicom,Japanese,Argonaut Games,Nintendo,1993,No,No,No,Rail Shooter,
スーパー麻雀大会,Nintendo Super Famicom,Japanese,Koei,Koei,1992,No,No,No,Tabletop / Mahjong,
スーパー究極ハリキリスタジアム,Nintendo Super Famicom,Japanese,SETA,SETA,1994,No,No,No,Sports (Baseball),
スーパー桃太郎電鉄III,Nintendo Super Famicom,Japanese,Hudson Soft,Hudson Soft,1994,No,No,No,Board Game / Party,
スーパー将棋,Nintendo Super Famicom,Japanese,I'MAX,I'MAX,1992,No,No,No,Board / Shogi,
スーパー三国志,Nintendo Super Famicom,Japanese,Koei,Koei,1992,No,No,No,Grand Strategy,
スーパーマリオワールド,Nintendo Super Famicom,Japanese,Nintendo,Nintendo,1990,No,No,No,Platformer,
スーパーマリオコレクション,Nintendo Super Famicom,Japanese,Nintendo EAD,Nintendo,1993,No,No,No,Compilation / Platformer,
スーパーマリオカート,Nintendo Super Famicom,Japanese,Nintendo EAD,Nintendo,1992,No,No,No,Kart Racing,
スーパーブラックバス,Nintendo Super Famicom,Japanese,Hot-B,Hot-B,1992,No,No,No,Sports (Fishing),
スーパーファミスタ５,Nintendo Super Famicom,Japanese,Bandai Namco Entertainment,Bandai Namco Entertainment,1996,No,No,No,Sports (Baseball),
スーパーファミスタ3,Nintendo Super Famicom,Japanese,Namco,Namco,1994,No,No,No,Sports (Baseball),
スーパードンキーコング,Nintendo Super Famicom,Japanese,Rare,Nintendo,1994,No,No,No,Platformer,
スーパースラムダンク,Nintendo Super Famicom,Japanese,Park Place Productions,Virgin Interactive,1993,No,No,No,Sports (Basketball),
スーパースコープ６,Nintendo Super Famicom,Japanese,Nintendo Research & Development 1,Nintendo,1992,No,No,No,Light Gun Shooter,
クロノ・トリガー,Nintendo Super Famicom,Japanese,Square Enix,Square Enix,1995,No,Yes,Yes,JRPG,
がんばれゴエモン3 獅子重禄兵衛のからくり卍固め,Nintendo Super Famicom,Japanese,Konami,Konami,1994,No,No,No,Platformer / Action-Adventure,
Street Fighter II,Nintendo Super Famicom,Japanese,CAPCOM,CAPCOM,1991,No,No,No,Fighting,
SDガンダムGX,Nintendo Super Famicom,Japanese,Bandai Namco Entertainment,Bandai Namco Entertainment,1994,No,No,No,Strategy,
Jリーグ エキサイトステージ'94,Nintendo Super Famicom,Japanese,A-Max,Epoch,1994,No,No,No,Sports (Football),
j.リーグエキサイトステージ９５,Nintendo Super Famicom,Japanese,A-Max,Epoch,1995,No,No,No,Sports (Football),
武田修宏のスーパーカップサッカー,Nintendo Super Famicom,Japanese,AIM,Jaleco,1993,No,No,No,Sports (Football),
幽☆遊☆白書,Nintendo Super Famicom,Japanese,Bandai Namco Entertainment,Namco,1993,No,Yes,Yes,Fighting,
常勝麻雀 天牌,Nintendo Super Famicom,Japanese,Game Arts,Enix,1995,No,Yes,Yes,Tabletop / Mahjong,
ラゴンクエストVI 幻の大地,Nintendo Super Famicom,Japanese,Enix,Enix,1995,No,No,No,JRPG,
スーパー人生ゲーム,Nintendo Super Famicom,Japanese,Geo Factory,Takara,1994,No,No,No,Board Game / Party,
スーパーボンバーマン ぱにっくボンバーW,Nintendo Super Famicom,Japanese,Rising Production,Hudson Soft,1995,No,No,No,Puzzle,
すーぱーぷよぷよ,Nintendo Super Famicom,Japanese,Compile Corporation,Banpresto,1993,No,Yes,Yes,Puzzle,
Super Monkey Ball 2,Nintendo GameCube,European,"Amusement Vision, Ltd.",Sega,2002,No,Yes,Yes,Platform / Party,
Super Mario Sunshine [Player's Choice],Nintendo GameCube,European,Nintendo,Nintendo,2002,No,Yes,Yes,Platformer,
Super Mario Strikers,Nintendo GameCube,United States of America,Next Level Games,Nintendo,2005,No,Yes,Yes,Sports (Football),
Resident Evil 0,Nintendo GameCube,United States of America,Capcom,Capcom,2002,No,Yes,Yes,Survival Horror,
Mario Power Tennis,Nintendo GameCube,United States of America,Camelot Software Planning,Nintendo,2004,No,Yes,Yes,Sports (Tennis),
Legend of Zelda: The Wind Waker [Limited Edition],Nintendo GameCube,European,Nintendo EAD,Nintendo,2002,No,Yes,Yes,Action-Adventure,
Harvest Moon: A Wonderful Life [Player's Choice],Nintendo GameCube,European,Tose,Natsume,2003,No,Yes,Yes,Life Simulation / Farming,
Final Fantasy: Crystal Chronicles,Nintendo GameCube,Japanese,Square Enix,Nintendo,2003,No,Yes,Yes,Action RPG,
Donkey Konga,Nintendo GameCube,United States of America,Nintendo,Nintendo,2003,No,Yes,Yes,Rhythm / Music,
Dancing Stage Mario Mix,Nintendo GameCube,European,Konami,Nintendo,2005,No,Yes,Yes,Rhythm / Dance,
ドラゴンクエストモンスターズ,Nintendo Game Boy Color,Japanese,Tose,Enix,1998,No,No,No,JRPG / Monster Taming,
ドラゴンクエストII 悪霊の神々,Nintendo Game Boy Color,Japanese,Tose,Enix,1999,No,No,No,JRPG,
幽☆遊☆白書 第2弾 暗黒武術会編,Nintendo Game Boy,Japanese,Tose,Tomy Coporation,1994,No,No,No,Fighting,
全日本プロレスジェット,Nintendo Game Boy,Japanese,Geo Factory,Masaya,1994,No,No,No,Sports (Wrestling),
スーパーブラックバスポケット2,Nintendo Game Boy,Japanese,Starfish,Starfish,1997,No,No,No,Sports (Fishing),
Mickey's Dangerous Chase,Nintendo Game Boy,European,Now Production,CAPCOM,1991,No,No,Yes,Platformer,
Kirby's Block Ball,Nintendo Game Boy,European,HAL Laboratory,Nintendo,1996,No,No,No,Puzzle,
幽☆遊☆白書 第4弾 魔界統一編,Nintendo Game Boy,Japanese,Tose,Tomy Coporation,1994,No,No,No,Fighting,
大戦略,Nintendo Game Boy,Japanese,Tose,Jaleco,1991,No,No,No,Turn-Based Strategy,
人生ゲーム,Nintendo Game Boy,Japanese,Electronics Application,Takara,1995,No,No,No,Board Game,
ベースボールキッズ,Nintendo Game Boy,Japanese,Tose,Jaleco,1990,No,No,No,Sports (Baseball),
ころダイス,Nintendo Game Boy,Japanese,King Records,King Records,1990,No,No,No,Board Game / Puzzle,
Yakuman,Nintendo Game Boy,Japanese,Inteligent Systems,Nintendo,1989,No,No,No,Tabletop / Mahjong,
Baseball,Nintendo Game Boy,European,Nintendo,Nintendo,1989,No,No,No,Sports (Baseball),
Amazing Spiderman,Nintendo Game Boy,European,Missing Field,Missing Field,1990,No,No,No,Action-Platformer,
忍者ハットリくん,Nintendo Famicom,Japanese,Hudson,Hudson,1986,No,No,No,Action-Platformer,
シャーロック・ホームズ 伯爵令嬢誘拐事件,Nintendo Famicom,Japanese,Towa Chiki,Towa Chiki,1986,No,Yes,Yes,Adventure,
Mahjong,Nintendo Famicom,Japanese,Nintendo,Nintendo,1983,No,No,No,Tabletop / Mahjong,
聖剣伝説DS チルドレン オブ マナ,Nintendo DS,Japanese,Nex Entertainment,Square Enix,2006,No,Yes,Yes,Action RPG,
