Games,Console,Edition,Developer,Publisher,Year,New,Box,Manual,Genre,
Assassin's Creed Valhalla,Playstation 4,European,Ubisoft,Ubisoft,2020,No,Yes,Yes,Action RPG / Open World,
Assassin's Creed Odyssey,Playstation 4,European,Ubisoft,Ubisoft,2018,No,Yes,Yes,Action RPG / Open World,
Siren Blood Curse,Playstation 3,European,Japan Studio,Sony Interactive Entertainment,2008,No,Yes,Yes,Survival Horror,
Resident Evil 5,Playstation 3,European,Capcom,Capcom,2009,No,Yes,Yes,Survival Horror / Third-Person Shooter,
Marvel: Ultimate Alliance 2,Playstation 3,European,Vicarious Visions,Activision,2009,No,Yes,Yes,Action RPG,
龍が如く５,Playstation 3,Japanese,Ryu Ga Gotoku Studio,SEGA,2012,Yes,Yes,Yes,Action-Adventure,
龍が如く４,Playstation 3,Japanese,Ryu Ga Gotoku Studio,SEGA,2010,No,Yes,Yes,Action-Adventure,
龍が如く３,Playstation 3,Japanese,Ryu Ga Gotoku Studio,SEGA,2009,No,Yes,Yes,Action-Adventure,
真三國無双６,Playstation 3,Japanese,Koei,Koei,2011,No,Yes,Yes,Action / Hack and Slash,
真三國無双 ５,Playstation 3,Japanese,Koei,Koei,2007,No,Yes,Yes,Action / Hack and Slash,
機動戦士ガンダムターゲットインサイト,Playstation 3,Japanese,B.B Studio,Bandai Namco Entertainment,2006,No,Yes,Yes,Action / Third-Person Shooter,
機動戦士ガンダムエクストリームバーサス,Playstation 3,Japanese,Bandai Namco Entertainment,Bandai Namco Entertainment,2010,No,Yes,Yes,Fighting,
戦国BASARA4,Playstation 3,Japanese,CAPCOM,CAPCOM,2014,No,Yes,Yes,Action / Hack and Slash,
戦国BASARA 3,Playstation 3,Japanese,CAPCOM,CAPCOM,2010,No,Yes,Yes,Action / Hack and Slash,
実況パワフルプロ野球2013,Playstation 3,Japanese,Konami,Konami,2013,No,Yes,Yes,Sports (Baseball),
実況パワフルプロ野球2011,Playstation 3,Japanese,Konami,Konami,2011,No,Yes,Yes,Sports (Baseball),
地球防衛軍４,Playstation 3,Japanese,Sandlot,D3 Publisher,2013,No,Yes,Yes,Third-Person Shooter,
北斗無双,Playstation 3,Japanese,Koei Tecmo,Koei Tecmo,2010,No,Yes,Yes,Action / Hack and Slash,
ワンピース海賊無双３,Playstation 3,Japanese,Omega Force,Bandai Namco Entertainment,2015,No,Yes,Yes,Action / Hack and Slash,
ワンピース海賊無双 2,Playstation 3,Japanese,Omega Force,Bandai Namco Entertainment,2013,No,Yes,Yes,Action / Hack and Slash,
ワンピース海賊無双,Playstation 3,Japanese,Omega Force,Bandai Namco Entertainment,2012,No,Yes,Yes,Action / Hack and Slash,
ワールドサッカーウイニングイレブン2012,Playstation 3,Japanese,Konami,Konami,2011,No,Yes,Yes,Sports (Football),
ワールドサッカー ウイニングイレブン 2010,Playstation 3,Japanese,Konami,Konami,2009,No,Yes,Yes,Sports (Football),
ファイナルファンタジーXIII-2,Playstation 3,Japanese,Square Enix,Square Enix,2011,No,Yes,Yes,JRPG,
ファイナルファンタジーXIII,Playstation 3,Japanese,Square Enix,Square Enix,2009,No,Yes,Yes,JRPG,
トルネ,Playstation 3,Japanese,Sony Computer Entertainment,Sony Interactive Entertainment,2010,No,Yes,Yes,Utility / DVR,
デビルメイクライ4,Playstation 3,Japanese,CAPCOM,CAPCOM,2008,No,Yes,Yes,Action / Hack and Slash,
デッドライジング 2 オフ・ザ・レコード,Playstation 3,Japanese,CAPCOM,CAPCOM,2011,No,Yes,Yes,Action-Adventure / Survival Horror,
デッドライジング 2,Playstation 3,Japanese,CAPCOM,CAPCOM,2010,No,Yes,Yes,Action-Adventure / Survival Horror,
テイルズ オブ ベルセリア,Playstation 3,Japanese,Bandai Namco Entertainment,Bandai Namco Entertainment,2016,No,Yes,Yes,Action RPG,
コールオブデューティ4 モダンウォーフェア,Playstation 3,Japanese,Infinity Ward,Activision,2007,No,Yes,Yes,First-Person Shooter,
コールオブデューティ モダンウォーフェア 3,Playstation 3,Japanese,Infinity Ward,Activision,2011,No,Yes,Yes,First-Person Shooter,
コールオブデューティ モダンウォーフェア ２,Playstation 3,Japanese,Infinity Ward,Activision,2009,No,Yes,Yes,First-Person Shooter,
コールオブデューティ ブラックオプス２,Playstation 3,Japanese,Treyarch,Activision,2012,No,Yes,Yes,First-Person Shooter,
コールオブデューティ ブラックオプス,Playstation 3,Japanese,Treyarch,Activision,2010,No,Yes,Yes,First-Person Shooter,
コールオブデューティ ゴースト,Playstation 3,Japanese,Infinity Ward,Activision,2013,No,Yes,Yes,First-Person Shooter,
グランドセフトオート５,Playstation 3,Japanese,Rockstar,Rockstar Games,2013,No,Yes,Yes,Action-Adventure / Open World,
グランドセフトオート 4,Playstation 3,Japanese,Rockstar,Rockstar Games,2008,No,Yes,Yes,Action-Adventure / Open World,
ガンダム無双 2,Playstation 3,Japanese,Omega Force,Koei,2008,No,Yes,Yes,Action / Hack and Slash,
ガンダム無双,Playstation 3,Japanese,Omega Force,Koei,2007,No,Yes,Yes,Action / Hack and Slash,
ガンダムブレイカー２,Playstation 3,Japanese,Bandai Namco Entertainment,Bandai Namco Entertainment,2014,No,Yes,Yes,Action RPG,
エースコンバットアサルトホライゾン,Playstation 3,Japanese,Project Aces,Bandai Namco Entertainment,2011,No,Yes,Yes,Combat Flight Simulator,
Worms Collection,Playstation 3,European,Ubisoft,Ubisoft,2012,No,Yes,Yes,Artillery / Strategy,
Uncharted Drake's Fortune,Playstation 3,European,Naughty Dog,Sony Computer Entertainment,2007,No,Yes,Yes,Action-Adventure / Third-Person Shooter,
UFC Undisputed 2010,Playstation 3,European,Yuke's,THQ,2010,No,Yes,Yes,Sports (MMA),
Toy Story 3,Playstation 3,European,Avalanche Software,Disney Interactive Studios,2010,No,Yes,Yes,Action-Adventure,
The Evil Within,Playstation 3,European,Tango Gameworks,Bethesda Softworks,2014,No,Yes,Yes,Survival Horror,
Star Wars The Force Unleashed,Playstation 3,European,LucasArts,LucasArts,2008,No,Yes,Yes,Action-Adventure,
South Park The Stick Of The Truth,Playstation 3,European,South Park Digital Studios,Ubisoft,2014,No,Yes,Yes,Role-Playing,
Sonic All Stars Racing Transformed,Playstation 3,European,SEGA,SEGA,2010,No,Yes,Yes,Kart Racing,
Sly Cooper Thieves in Time,Playstation 3,European,Sanzaru Games,Sony Interactive Entertainment,2013,No,Yes,Yes,Platformer / Stealth,
SEGA Superstars Tennis,Playstation 3,European,SEGA,SEGA,2008,No,Yes,Yes,Sports (Tennis),
Resistance 3,Playstation 3,European,Insomniac Games,Sony Interactive Entertainment,2011,No,Yes,Yes,First-Person Shooter,
Resident Evil 6,Playstation 3,European,CAPCOM,CAPCOM,2012,No,Yes,Yes,Survival Horror / Third-Person Shooter,
Rayman Origins,Playstation 3,European,Ubisoft,Ubisoft,2011,No,Yes,Yes,Platformer,
Rayman Legends,Playstation 3,European,Ubisoft,Ubisoft,2013,No,Yes,Yes,Platformer,
Race Driver Grid,Playstation 3,European,Codemasters,Codemasters,2008,No,Yes,Yes,Racing,
Prince of Persia,Playstation 3,European,Ubisoft,Ubisoft,2008,No,Yes,Yes,Action-Adventure / Platformer,
Persona 4 Arena Ultimax Limited Edition,Playstation 3,Japanese,Atlus,Atlus,2013,No,Yes,Yes,Fighting,
Order Up,Playstation 3,European,SuperVillain Studios,IndiePub,2008,No,Yes,Yes,Simulation,
Ninja Gaiden 3,Playstation 3,European,Team Ninja,Tecmo Koei,2012,No,Yes,Yes,Action / Hack and Slash,
NARUTO-ナルト- 疾風伝 ナルティメットストーム3,Playstation 3,Japanese,CyberConnect2,Bandai Namco Entertainment,2013,No,Yes,Yes,Fighting / Arena Fighter,
Little Big Planet 2,Playstation 3,European,Media Molecule,Sony Computer Entertainment,2011,No,Yes,Yes,Platformer / Puzzle,
Little Big Planet Karting,Playstation 3,European,Sumo Digital,Sony Interactive Entertainment,2012,No,Yes,Yes,Kart Racing,
Little Big Planet,Playstation 3,European,Media Molecule,Media Molecule,2008,No,Yes,Yes,Platformer / Puzzle,
Lightning Returns: Final Fantasy XIII,Playstation 3,European,Square Enix,Square Enix,2014,No,Yes,Yes,Action RPG,
Lego Indiana Jones 2,Playstation 3,European,TT Games,LucasArts,2009,No,Yes,Yes,Action-Adventure,
H.A.W.X,Playstation 3,Japanese,Ubisoft,Ubisoft,2009,No,Yes,Yes,Combat Flight Simulator,
Grand Theft Auto Episodes From Liberty City,Playstation 3,European,Rockstar,Rockstar Games,2009,No,Yes,Yes,Action-Adventure / Open World,
Gran Turismo 5,Playstation 3,European,Polyphony Digital,Sony Computer Entertainment,2010,No,Yes,Yes,Racing / Simulation,
Final Fantasy XIV: A Realm Reborn,Playstation 3,European,Square Enix,Square Enix,2010,No,Yes,Yes,MMORPG,
FIFA 15,Playstation 3,European,Electronic Arts,Electronic Arts,2014,No,No,No,Sports (Football),
FIFA 12,Playstation 3,European,Electronic Arts,Electronic Arts,2011,No,Yes,Yes,Sports (Football),
DuckTales: Remastered,Playstation 3,European,WayForward Technologies,CAPCOM,2013,No,Yes,Yes,Platformer,
DmC Devil May Cry,Playstation 3,European,Ninja Theory,CAPCOM,2013,No,Yes,Yes,Action / Hack and Slash,
Disney Universe,Playstation 3,European,Eurocom,Disney Interactive Studios,2011,No,Yes,Yes,Action-Adventure,
Disney Epic Mickey 2,Playstation 3,European,Junction Point Studios,Disney Interactive Studios,2012,No,Yes,Yes,Action-Adventure / Platformer,
Diggs Nightcrawler,Playstation 3,European,London Studio,Sony Interactive Entertainment,2013,No,Yes,Yes,Interactive Movie / Adventure,
Dead Space 3,Playstation 3,European,Visceral Games,Electronic Arts,2013,No,Yes,No,Survival Horror / Third-Person Shooter,
Dead Space 2,Playstation 3,European,Visceral Games,Electronic Arts,2011,No,Yes,Yes,Survival Horror / Third-Person Shooter,
Dead Space,Playstation 3,European,Visceral Games,Electronic Arts,2008,No,Yes,Yes,Survival Horror / Third-Person Shooter,
